tips,lem_words,lem_tags,word_tags,lng,lat,polarity_pred
"Great fun to be had by everyone. The aquarium is worth the small fee to enter, and during the summer they have jazz bands playing in the bandstand.",great fun be have everyone aquarium be small fee enter summer have jazz band play bandstand,JJ NN VB VB NN NN VB JJ NN VB NN VB NN NN VB NN,"[great/JJ, fun/NN, be/VB, have/VB, everyone/NN, aquarium/NN, be/VB, small/JJ, fee/NN, enter/VB, summer/NN, have/VB, jazz/NN, band/NN, play/VB, bandstand/NN]",51.4409815123,-0.0613689422607,2
Love this place my new local shop,love place new local shop,VB NN JJ JJ NN,"[love/VB, place/NN, new/JJ, local/JJ, shop/NN]",51.4669013,0.0528256,2
Sea lion shows at 12pm and 3pm daily,sea lion show pm pm daily,NN NN VB NN NN RB,"[sea/NN, lion/NN, show/VB, pm/NN, pm/NN, daily/RB]",51.3495168852,-0.315634863588,2
"Great place for beer and video games, both arcade and console formats (Sega, Nintendo and Sony). Good outdoor seating by the canal :D",great place beer video game arcade console format sega nintendo sony good outdoor seating canal,JJ NN NN JJ NN NN VB NN VB RB NN JJ JJ NN NN,"[great/JJ, place/NN, beer/NN, video/JJ, game/NN, arcade/NN, console/VB, format/NN, sega/VB, nintendo/RB, sony/NN, good/JJ, outdoor/JJ, seating/NN, canal/NN]",51.5469033096,-0.0243907579104,2
Free foosball in the bar!,free foosball bar,JJ NN NN,"[free/JJ, foosball/NN, bar/NN]",51.575568781,0.179667461709,2
Including STATE OF THE ART arcade,include state art arcade,VB NN NN NN,"[include/VB, state/NN, art/NN, arcade/NN]",51.4627149497,-0.0085972969013,2
"Cool gallery, worth a visit",cool gallery worth visit,JJ NN VB NN,"[cool/JJ, gallery/NN, worth/VB, visit/NN]",51.500323233,0.00465396977695,2
"In 1616 Anne of Denmark, wife of James I, commissioned Inigo Jones to build the Queen’s House, the first fully Classical building in England. The house now forms part of the National Maritime Museum.",anne denmark wife jame commission inigo jone build queen house first fully classical building england house now form part national maritime museum,NN NN NN NN VB NN NN VB NN NN JJ RB JJ NN NN NN RB NN NN JJ JJ NN,"[anne/NN, denmark/NN, wife/NN, jame/NN, commission/VB, inigo/NN, jone/NN, build/VB, queen/NN, house/NN, first/JJ, fully/RB, classical/JJ, building/NN, england/NN, house/NN, now/RB, form/NN, part/NN, national/JJ, maritime/JJ, museum/NN]",51.4812759906,-0.00394821166992,2
"Really good coffee, if its busy its still worth the wait. Great food too, friendly staff and amazing windows upstairs... Shame about the view!",really good coffee busy still worth wait great food too friendly staff amazing window upstairs shame view,RB JJ NN JJ RB VB NN JJ NN RB JJ NN JJ NN JJ NN NN,"[really/RB, good/JJ, coffee/NN, busy/JJ, still/RB, worth/VB, wait/NN, great/JJ, food/NN, too/RB, friendly/JJ, staff/NN, amazing/JJ, window/NN, upstairs/JJ, shame/NN, view/NN]",51.5400824936,-0.0209389374755,2
The pizzas look amazing. Will be back to try ...  And cheap good prosecco,pizza look amazing be back try cheap good prosecco,NN VB JJ VB RB VB JJ JJ NN,"[pizza/NN, look/VB, amazing/JJ, be/VB, back/RB, try/VB, cheap/JJ, good/JJ, prosecco/NN]",51.543053251,-0.0220629993382,2
Nice little gallery with rotating exhibitions.,nice little gallery rotate exhibition,JJ JJ NN VB NN,"[nice/JJ, little/JJ, gallery/NN, rotate/VB, exhibition/NN]",51.5292141882,-0.0169734915194,2
Nice historic images of London. It's worth popping in.,nice historic image london pop,JJ JJ NN NN VB,"[nice/JJ, historic/JJ, image/NN, london/NN, pop/VB]",51.5433047834,-0.00827849188575,2
"Great coffee, very reasonably priced small foods, great cake. Lovely place to work",great coffee very reasonably price small food great cake lovely place work,JJ NN RB RB VB JJ NN JJ NN JJ NN VB,"[great/JJ, coffee/NN, very/RB, reasonably/RB, price/VB, small/JJ, food/NN, great/JJ, cake/NN, lovely/JJ, place/NN, work/VB]",51.5126513276,-0.0385495885481,2
