Unnamed: 0,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk,Partition date
0,67.0,male,2.0,own,,little,1169,6.0,radio/TV,good,10.07.2021
1,22.0,female,2.0,own,little,moderate,5951,48.0,radio/TV,bad,11.07.2021
2,49.0,male,1.0,own,little,,2096,12.0,education,good,12.07.2021
3,45.0,male,2.0,free,little,little,7882,42.0,furniture/equipment,good,13.07.2021
4,53.0,male,2.0,free,little,little,4870,24.0,car,bad,14.07.2021
5,35.0,male,1.0,free,,,,36.0,education,good,15.07.2021
6,53.0,male,2.0,own,quite rich,,,24.0,furniture/equipment,good,16.07.2021
7,35.0,male,3.0,rent,little,moderate,,36.0,car,good,17.07.2021
8,61.0,male,1.0,own,rich,,,12.0,radio/TV,good,18.07.2021
9,28.0,male,3.0,own,little,moderate,,30.0,car,bad,19.07.2021
10,25.0,female,2.0,rent,little,moderate,,12.0,car,bad,20.07.2021
11,24.0,female,2.0,rent,little,little,,48.0,business,bad,21.07.2021
12,22.0,female,2.0,own,little,moderate,,12.0,radio/TV,good,22.07.2021
13,60.0,male,1.0,own,little,little,,24.0,car,bad,23.07.2021
14,28.0,female,2.0,rent,little,little,,15.0,car,good,24.07.2021
15,32.0,female,1.0,own,moderate,little,,24.0,radio/TV,bad,25.07.2021
16,53.0,male,2.0,own,,,,24.0,radio/TV,good,26.07.2021
17,25.0,male,2.0,own,,little,,30.0,business,good,27.07.2021
18,44.0,female,3.0,free,little,moderate,,24.0,car,bad,28.07.2021
19,31.0,male,2.0,own,quite rich,,,24.0,radio/TV,good,29.07.2021
20,48.0,male,2.0,own,little,,2134,9.0,car,good,30.07.2021
21,44.0,male,2.0,rent,quite rich,little,2647,6.0,radio/TV,good,31.07.2021
22,48.0,male,1.0,rent,little,little,2241,10.0,car,good,01.08.2021
23,44.0,male,2.0,own,moderate,moderate,1804,12.0,car,good,02.08.2021
24,26.0,male,2.0,own,,,2069,10.0,furniture/equipment,good,03.08.2021
25,36.0,male,1.0,own,little,little,1374,6.0,furniture/equipment,good,04.08.2021
26,39.0,male,1.0,own,little,,426,6.0,radio/TV,,05.08.2021
27,42.0,female,2.0,rent,rich,rich,409,12.0,radio/TV,,06.08.2021
